date,env_enc_0,env_enc_1,env_enc_2,env_enc_3
1928-06-09,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-06-10,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-06-11,9.595438,-17.823362,10.360306,-4.2852387
1928-06-12,5.425104,-10.030654,5.59746,-2.5734491
1928-06-13,4.2286863,-13.031194,9.129,0.60213006
1928-06-14,2.240687,-5.5921993,3.350105,-0.4199602
1928-06-15,4.9884243,-9.222939,5.10765,-2.387455
1928-06-16,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-06-17,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-06-18,5.411755,-10.005938,5.5824614,-2.5677967
1928-06-19,2.5892024,-5.0260487,2.634162,-1.2374766
1928-06-20,2.4927347,-6.713848,4.238267,-0.2009861
1928-06-21,2.3358843,-4.7210727,2.5040717,-1.0294108
1928-06-22,2.3765912,-4.7594686,2.5148554,-1.0697567
1928-06-23,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-06-24,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-06-25,2.6510935,-5.114426,2.680418,-1.2779365
1928-06-26,2.4072287,-6.3632107,3.9633904,-0.26048332
1928-06-27,2.2992125,-5.883564,3.58254,-0.353212
1928-06-28,2.391108,-6.2953777,3.9097152,-0.27264786
1928-06-29,2.1572692,-4.778494,2.6594605,-0.727664
1928-06-30,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-01,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-02,3.3633668,-6.273676,3.343011,-1.6584666
1928-07-03,2.811588,-7.9547873,5.20426,-0.017008653
1928-07-04,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-05,2.3110027,-5.9397564,3.6273475,-0.34138557
1928-07-06,2.762279,-5.28061,2.770627,-1.3460842
1928-07-07,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-08,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-09,2.1579604,-4.773179,2.654132,-0.7317958
1928-07-10,2.415259,-4.8011537,2.5295897,-1.1050322
1928-07-11,6.9478035,-12.868519,7.3249207,-3.2075024
1928-07-12,3.1921394,-5.9814568,3.1712158,-1.575984
1928-07-13,2.2192647,-5.476308,3.257241,-0.44921187
1928-07-14,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-15,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-16,4.427871,-8.18979,4.4840627,-2.1447
1928-07-17,2.1546144,-4.978079,2.843112,-0.6143025
1928-07-18,2.4695117,-6.6198254,4.1648436,-0.21641576
1928-07-19,2.4663272,-4.86257,2.5550895,-1.1482761
1928-07-20,2.192235,-4.684456,2.5517054,-0.8360687
1928-07-21,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-22,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-23,2.151948,-4.8931193,2.7670069,-0.6557572
1928-07-24,2.4176638,-4.803898,2.530643,-1.1071324
1928-07-25,2.15904,-5.042374,2.8991287,-0.58644795
1928-07-26,2.1930494,-4.683668,2.550549,-0.83774495
1928-07-27,2.2842155,-5.810977,3.5248036,-0.3690138
1928-07-28,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-29,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-07-30,2.177413,-4.7039604,2.5779514,-0.80289036
1928-07-31,2.4618394,-4.8569555,2.5526195,-1.1445997
1928-08-01,2.3341637,-4.719628,2.5037417,-1.027633
1928-08-02,2.7642698,-5.2836456,2.7722995,-1.3472475
1928-08-03,2.2139552,-4.67089,2.5274205,-0.87629354
1928-08-04,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-08-05,2.2989497,-4.6932807,2.4999404,-0.9896153
